Geo Shape;NUMERO;INTITULE;ADRESSE;CATEGORIE;geo_point_2d
"{""type"": ""Polygon"", ""coordinates"": [[[1.343830512144889, 43.571004597531825], [1.343835388614481, 43.57101015005927], [1.343876923220529, 43.57101495872246], [1.343877122298004, 43.57101446643], [1.343877816213928, 43.57101399023386], [1.343878240450427, 43.57101387027816], [1.343878253071516, 43.57101386145644], [1.34387877437229, 43.57101381491346], [1.343879033802536, 43.571013836637796], [1.343880058170351, 43.5710139593543], [1.343887706344113, 43.57099857541496], [1.343889909860066, 43.57099265624457], [1.343894613691375, 43.57095800041515], [1.343885999244156, 43.57095148503675], [1.343853410640556, 43.5709482720556], [1.343843310938424, 43.57094995481076], [1.343839411969573, 43.570954472268006], [1.343835054879677, 43.570976340286414], [1.343830512144889, 43.571004597531825]]]}";503402;BASE DE LOISIRS LA RAMEE;LA RAMEE;ENA - Espaces naturels aménagé;43.5709812,1.34386258625
"{""type"": ""Polygon"", ""coordinates"": [[[1.346355713912508, 43.56533477425658], [1.346356963880284, 43.5653347921501], [1.346366989545774, 43.5653824517738], [1.346374688125798, 43.56542277691627], [1.346396508686472, 43.56549893678741], [1.346411447759291, 43.5655503218227], [1.346430966291592, 43.565619138560706], [1.346454630443237, 43.565673394296624], [1.346482874193071, 43.565744163458376], [1.346494595097711, 43.56577539944793], [1.346506626106502, 43.56584137217787], [1.346506156163447, 43.565858731602724], [1.346504757820136, 43.56586419421351], [1.346512097001303, 43.56587160943312], [1.346536824706026, 43.565886583712405], [1.346539831579273, 43.56586835133028], [1.346542962206964, 43.56584554736275], [1.346543679408133, 43.5658190537663], [1.346525795213916, 43.56578315620719], [1.346526537027084, 43.56575575369272], [1.346521809095309, 43.565744720765736], [1.346508986571109, 43.56570798638379], [1.346481869021368, 43.5656418067052], [1.346456434378084, 43.565560112496335], [1.346433438056941, 43.56548118999421], [1.346411072608545, 43.56537850946062], [1.346405465567761, 43.56535376187528], [1.346398349143183, 43.56533812139265], [1.346396430324456, 43.56531616341504], [1.346383868770859, 43.56531598359767], [1.346369921105925, 43.5653203572943], [1.346358448910735, 43.5653265849659], [1.346355763371464, 43.565332947422064], [1.346355713912508, 43.56533477425658]]]}";503228;BASE DE LOISIRS LA RAMEE;LA RAMEE;ENA - Espaces naturels aménagé;43.5655872917,1.34644824635
"{""type"": ""Polygon"", ""coordinates"": [[[1.341896720353236, 43.57001367287491], [1.341899282450543, 43.57001188210638], [1.341879480020672, 43.57000063263841], [1.34187822995873, 43.57000061469646], [1.341833263048165, 43.57003652011418], [1.341841889279924, 43.57004304482454], [1.341851790497359, 43.5700486695621], [1.341896720353236, 43.57001367287491]]]}";503456;BASE DE LOISIRS LA RAMEE;LA RAMEE;ENA - Espaces naturels aménagé;43.5700243428,1.34186575607
"{""type"": ""Polygon"", ""coordinates"": [[[1.342530967106959, 43.56891885816865], [1.342550769306116, 43.568930107529226], [1.342599609000575, 43.56889060231478], [1.342590970317935, 43.568884995750835], [1.342582343925492, 43.56887848009294], [1.342530967106959, 43.56891885816865]]]}";503658;BASE DE LOISIRS LA RAMEE;LA RAMEE;ENA - Espaces naturels aménagé;43.5689046827,1.34256561177
"{""type"": ""Polygon"", ""coordinates"": [[[1.338945115792443, 43.566707044435816], [1.338958517811432, 43.56672276677267], [1.33896234222699, 43.56672099421873], [1.339219183151501, 43.566611379244094], [1.339214680126596, 43.56659212078395], [1.339203231677731, 43.56659743882656], [1.33895019020105, 43.56670528985595], [1.338945115792443, 43.566707044435816]]]}";503698;BASE DE LOISIRS LA RAMEE;LA RAMEE;ENA - Espaces naturels aménagé;43.5666584802,1.33908428493
"{""type"": ""Polygon"", ""coordinates"": [[[1.343002664397033, 43.564848880649635], [1.343012634043331, 43.56485149939453], [1.343092531804155, 43.56486909333878], [1.343092961540004, 43.56486922554026], [1.343093628783278, 43.56486973025833], [1.343093857990662, 43.56487040874705], [1.343093645574607, 43.56487093685841], [1.34317667619052, 43.56489900978667], [1.343247514521158, 43.56492835722182], [1.343278304865557, 43.564951647621506], [1.343289269523601, 43.56496459768385], [1.343294000556583, 43.56496271195386], [1.343293758726707, 43.56496204228725], [1.343294036925953, 43.56496137107611], [1.34329471840183, 43.56496089470497], [1.343327596161555, 43.564947394066664], [1.343310316289648, 43.564936766155746], [1.343249685483868, 43.56490948272942], [1.343167670051726, 43.56488186554649], [1.34310164480747, 43.56486449764389], [1.343006772336546, 43.564842124545684], [1.343006625291626, 43.564842068420326], [1.343002664397033, 43.564848880649635]]]}";503573;BASE DE LOISIRS LA RAMEE;LA RAMEE;ENA - Espaces naturels aménagé;43.5649061168,1.34320222365
"{""type"": ""Polygon"", ""coordinates"": [[[1.35296595245236, 43.5675319439623], [1.352981907310773, 43.56754588247494], [1.352993391623841, 43.56753965432692], [1.353175744217804, 43.56744173041342], [1.353168404039112, 43.56743431562119], [1.353161063862199, 43.5674269008285], [1.352978686778981, 43.56752573363769], [1.35296595245236, 43.5675319439623]]]}";503127;BASE DE LOISIRS LA RAMEE;LA RAMEE;ENA - Espaces naturels aménagé;43.5674863763,1.35307185637
"{""type"": ""Polygon"", ""coordinates"": [[[1.341050638974683, 43.5694212411399], [1.341054252638488, 43.56942677565917], [1.341058151471368, 43.569422267292644], [1.341063176424291, 43.56942233945128], [1.341064327233125, 43.5694260110613], [1.341122427259994, 43.56936927328484], [1.341125088590282, 43.56936382887371], [1.34112649987152, 43.569358366512446], [1.341125436165202, 43.569351032066635], [1.341123072547741, 43.569345515499585], [1.341119396886991, 43.569341807634295], [1.341114446246838, 43.56933899973315], [1.341108245803454, 43.56933616488233], [1.341100733072091, 43.569335147731984], [1.341094445701492, 43.56933505744682], [1.341085633547052, 43.569335840175576], [1.341078046508267, 43.5693375587687], [1.341069197044173, 43.56933925923292], [1.341052450014264, 43.56935456635726], [1.341093229899527, 43.56937981927374], [1.341049426169075, 43.56941939618162], [1.341050638974683, 43.5694212411399]]]}";503655;BASE DE LOISIRS LA RAMEE;LA RAMEE;ENA - Espaces naturels aménagé;43.5693688232,1.34108995684
"{""type"": ""Polygon"", ""coordinates"": [[[1.36576417178069, 43.569674790299835], [1.365788710218768, 43.56969706779833], [1.365803467145623, 43.56970916900568], [1.365818798941181, 43.56970024822733], [1.365780729074265, 43.56966680512954], [1.36576417178069, 43.569674790299835]]]}";503029;BASE DE LOISIRS LA RAMEE;LA RAMEE;ENA - Espaces naturels aménagé;43.5696878627,1.36579162001
"{""type"": ""Polygon"", ""coordinates"": [[[1.3535745851136, 43.57563080423679], [1.353574388108073, 43.575638111560835], [1.353574264858286, 43.575642683137964], [1.353606893602357, 43.575644975633324], [1.353608500913892, 43.57563220580753], [1.3535745851136, 43.57563080423679]]]}";503175;BASE DE LOISIRS LA RAMEE;LA RAMEE;ENA - Espaces naturels aménagé;43.5756376418,1.35359127962
